customer_number,customer_name,customer_street_address,customer_zip_code,customer_city,customer_state
21,Really Large Customers,7500 Louise Dr.,17050,Mechanicsburg,PA
22,Small Stores,2500 Woodland St.,17055,Pittsburgh,PA
23,Medium Retailers,1111 Ritter Rd.,17055,Pittsburgh,PA
24,Good Companies,9500 Scott St.,17050,Mechanicsburg,PA
25,Wonderful Shops,3333 Rossmoyne Rd.,17050,Mechanicsburg,PA
26,Loyal Clients,7070 Ritter Rd.,17055,Pittsburgh,PA
27,Distinguished Partners,990 Scott St.,17050,Mechanicsburg,PA
28,Distro Inc,1290 Scott St.,17050,Pittsburgh,PA
29,ACME Inc,90 Savoy St.,15001,California,CA
30,Docs Company,1340 Doc Av.,29350,San Francisco,CA
31,Great Deals,12 Abbey Rd.,13040,Los Angeles,CA
32,Good Products,40 Lombard St.,29350,San Francisco,CA
33,HT Big,23 WoodPicker St.,17055,Pittsburgh,PA
34,Invent Deals,1300 Bandana Rd.,13040,Los Angeles,CA
35,Ticanos Com,20 Back St.,17050,Mechaniscburg,PA
36,Develop IN,345 Rose Av.,13040,Los Angeles,CA
37,Elephant,43 Lagoon Park St.,29350,San Francisco,CA
38,Seal Tech,901 Spartacus Av.,17055,Pittsburgh,PA
39,Bunny Com,540 King St.,29350,San Francisco,CA
40,Life Connect,54 Marie Cure St.,17050,Mechanicsburg,PA
